armAccession,studyAccession,description,name,typeReported,typePreferred
ARM5154,SDY1597,breast cancer patients who received adjuvant chemotherapy at least one year prior to sample collection,breast cancer patient,,
ARM5155,SDY1597,age-matched healthy controls,healthy control,,
